date,clones_total,clones_unique,collection_timestamp
2025-12-26,1,1,2026-01-09T23:47:29.333337+00:00
2025-12-27,1,1,2026-01-09T23:47:29.333337+00:00
2025-12-28,1,1,2026-01-09T23:47:29.333337+00:00
2025-12-29,0,0,2026-01-09T23:47:29.333337+00:00
2025-12-30,1,1,2026-01-09T23:47:29.333337+00:00
2025-12-31,2,2,2026-01-09T23:47:29.333337+00:00
2026-01-01,0,0,2026-01-09T23:47:29.333337+00:00
2026-01-02,1,1,2026-01-09T23:47:29.333337+00:00
2026-01-03,1,1,2026-01-09T23:47:29.333337+00:00
2026-01-04,0,0,2026-01-09T23:47:29.333337+00:00
2026-01-05,0,0,2026-01-09T23:47:29.333337+00:00
2026-01-06,2,2,2026-01-09T23:47:29.333337+00:00
2026-01-07,0,0,2026-01-09T23:47:29.333337+00:00
2026-01-08,0,0,2026-01-09T23:47:29.333337+00:00
